,feature,importance
2,total_receipts_amount,0.5026749099601292
0,miles_traveled,0.19401859569570573
1,trip_duration_days,0.16403386582130797
7,long_trip_flag,0.04461785491636821
4,cost_per_day,0.03467762857961599
5,miles_per_day,0.029738016650706675
3,cost_per_mile,0.027933147662879368
8,high_daily_cost_flag,0.0012500940182613518
6,short_trip_flag,0.0010558866950253886
